date_collected,link,num,type,lean
1/8/20,https://www.nbcnews.com/news/us-news/trump-tweets-all-well-after-iranian-missile-attack-targeting-u-n1112211?cid=sm_npd_nn_fb_ma&fbclid=IwAR1PQV1l4jbUJUHS91zCB228EH97Bn9_TSqMIQ9mRbFhvOVNNbL7WcYWsHg&fbclid=IwAR2n15afcp34Lqppj6ssx7ysDyUhqDkjygYxOmNPH4b4oZ9RlWYGkPmSVqM&fbclid=IwAR1PQV1l4jbUJUHS91zCB228EH97Bn9_TSqMIQ9mRbFhvOVNNbL7WcYWsHg,105,PE,N
1/9/20,https://www.freerepublic.com/focus/f-news/3806751/posts,106,PE,C
1/9/20,https://crooksandliars.com/2020/01/john-bolton-will-testify-if-subpoenaed-so,107,PE,L
1/9/20,https://www.collective-evolution.com/2020/01/09/the-us-military-pollutes-more-140-countries-combined/,108,S,L
1/9/20,https://www.foxnews.com/entertainment/cardi-b-trump-nigerian-citizenship,109,PE,N
1/9/20,https://www.politico.com/news/2020/01/08/ruth-bader-ginsburg-health-096302,110,PE,N
1/13/20,http://endoftheamericandream.com/archives/why-are-volcanoes-all-over-the-globe-suddenly-shooting-giant-clouds-of-ash-miles-into-the-air,111,S,N
1/13/20,https://bipartisanreport.com/2020/01/12/new-trump-approval-poll-released-confirms-massive-2020-blue-wave/,112,PE,L
1/13/20,https://www.daily-sun.com/post/453807/Alaska-man-survives-three-weeks-with-little-food-and-shelter,113,H,N
1/13/20,https://www.cnbc.com/2020/01/03/bill-gates-americas-tax-system-is-not-fair.html?__source=facebook%7Cmain,114,PE,N
1/13/20,https://www.cbsnews.com/news/serena-williams-tennis-wins-first-title-in-3-years-donates-prize-money-australia-wildfire-relief-2020-01-12/?ftag=CNM-00-10aab6a&linkId=80518649,115,H,N
1/14/20,https://www.dcclothesline.com/2020/01/14/wisconsin-judge-orders-up-to-209000-listings-purged-from-voter-rolls-finds-3-in-contempt-orders-fines-for-delay/,116,PE,C
1/14/20,https://www.palmerreport.com/news/no-win-cornr-gop-senators-donald-trump/24395/,117,PE,L
1/14/20,https://www.zerohedge.com/markets/boeing-refused-request-more-737-max-pilot-training-deadly-crash,118,H,U
1/14/20,https://www.washingtontimes.com/news/2020/jan/13/donald-trump-melania-trump-cheered-national-champi/,119,PE,N
1/14/20,https://www.yahoo.com/news/first-obama-backed-documentary-receives-oscar-nomination-155227895.html?ncid=facebook_yahoonewsf_akfmevaatca,120,H,N
1/15/20,https://www.teaparty.org/bloomberg-draws-paltry-crowd-of-45-at-heavily-advertised-rally-424734/,121,PE,C
1/15/20,https://occupydemocrats.com/2020/01/14/newly-released-texts-from-giuliani-crony-parnas-appear-to-show-them-spying-on-amb-yovanovich-4/,122,PE,L
1/15/20,https://themindunleashed.com/2020/01/300-vultures-occupy-border-patrol-tower-covering-it-with-corrosive-feces-vomit.html,123,H,N
1/15/20,https://townhall.com/tipsheet/juliorosas/2020/01/14/president-trump-gets-thunderous-applause-at-clemson-and-lsu-playoff-game-n2559475?utm_content=bufferfe3f8&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer,124,PE,C
1/15/20,https://www.nbcnews.com/news/us-news/17-kids-injured-after-delta-jet-dumps-fuel-l-playground-n1115586?cid=sm_npd_nn_fb_ma,125,H,N
1/21/20,https://fellowshipoftheminds.com/pentagon-bans-bible-verses-on-dog-tags-while-pres-trump-upholds-right-to-pray-in-public-schools,126,PE,C
